"address/country","address/full","address/postalCode","address/region","address/street","breakfast","checkInFrom","checkInTo","description","image","location","name","order","price","rating","reviews","rooms/0/available","rooms/0/bedType","rooms/0/conditions/0","rooms/0/conditions/1","rooms/0/conditions/2","rooms/0/currency","rooms/0/features/0","rooms/0/features/1","rooms/0/features/2","rooms/0/features/3","rooms/0/features/4","rooms/0/features/5","rooms/0/features/6","rooms/0/features/7","rooms/0/features/8","rooms/0/features/9","rooms/0/features/10","rooms/0/features/11","rooms/0/features/12","rooms/0/features/13","rooms/0/features/14","rooms/0/features/15","rooms/0/features/16","rooms/0/features/17","rooms/0/features/18","rooms/0/features/19","rooms/0/features/20","rooms/0/features/21","rooms/0/features/22","rooms/0/features/23","rooms/0/features/24","rooms/0/features/25","rooms/0/features/26","rooms/0/features/27","rooms/0/features/28","rooms/0/features/29","rooms/0/features/30","rooms/0/features/31","rooms/0/features/32","rooms/0/features/33","rooms/0/features/34","rooms/0/features/35","rooms/0/features/36","rooms/0/features/37","rooms/0/features/38","rooms/0/features/39","rooms/0/features/40","rooms/0/features/41","rooms/0/features/42","rooms/0/features/43","rooms/0/features/44","rooms/0/features/45","rooms/0/features/46","rooms/0/persons","rooms/0/price","rooms/0/roomType","rooms/1/available","rooms/1/bedType","rooms/1/conditions/0","rooms/1/conditions/1","rooms/1/conditions/2","rooms/1/currency","rooms/1/features/0","rooms/1/features/1","rooms/1/features/2","rooms/1/features/3","rooms/1/features/4","rooms/1/features/5","rooms/1/features/6","rooms/1/features/7","rooms/1/features/8","rooms/1/features/9","rooms/1/features/10","rooms/1/features/11","rooms/1/features/12","rooms/1/features/13","rooms/1/features/14","rooms/1/features/15","rooms/1/features/16","rooms/1/features/17","rooms/1/features/18","rooms/1/features/19","rooms/1/features/20","rooms/1/features/21","rooms/1/features/22","rooms/1/features/23","rooms/1/features/24","rooms/1/features/25","rooms/1/features/26","rooms/1/features/27","rooms/1/features/28","rooms/1/features/29","rooms/1/features/30","rooms/1/features/31","rooms/1/features/32","rooms/1/features/33","rooms/1/features/34","rooms/1/features/35","rooms/1/features/36","rooms/1/features/37","rooms/1/features/38","rooms/1/features/39","rooms/1/features/40","rooms/1/features/41","rooms/1/features/42","rooms/1/features/43","rooms/1/features/44","rooms/1/features/45","rooms/1/features/46","rooms/1/features/47","rooms/1/persons","rooms/1/price","rooms/1/roomType","rooms/2/available","rooms/2/bedType","rooms/2/conditions/0","rooms/2/conditions/1","rooms/2/conditions/2","rooms/2/currency","rooms/2/features/0","rooms/2/features/1","rooms/2/features/2","rooms/2/features/3","rooms/2/features/4","rooms/2/features/5","rooms/2/features/6","rooms/2/features/7","rooms/2/features/8","rooms/2/features/9","rooms/2/features/10","rooms/2/features/11","rooms/2/features/12","rooms/2/features/13","rooms/2/features/14","rooms/2/features/15","rooms/2/features/16","rooms/2/features/17","rooms/2/features/18","rooms/2/features/19","rooms/2/features/20","rooms/2/features/21","rooms/2/features/22","rooms/2/features/23","rooms/2/features/24","rooms/2/features/25","rooms/2/features/26","rooms/2/features/27","rooms/2/features/28","rooms/2/features/29","rooms/2/features/30","rooms/2/features/31","rooms/2/features/32","rooms/2/features/33","rooms/2/features/34","rooms/2/features/35","rooms/2/features/36","rooms/2/features/37","rooms/2/features/38","rooms/2/features/39","rooms/2/features/40","rooms/2/features/41","rooms/2/features/42","rooms/2/features/43","rooms/2/features/44","rooms/2/persons","rooms/2/price","rooms/2/roomType","rooms/3/available","rooms/3/bedType","rooms/3/conditions/0","rooms/3/conditions/1","rooms/3/conditions/2","rooms/3/currency","rooms/3/features/0","rooms/3/features/1","rooms/3/features/2","rooms/3/features/3","rooms/3/features/4","rooms/3/features/5","rooms/3/features/6","rooms/3/features/7","rooms/3/features/8","rooms/3/features/9","rooms/3/features/10","rooms/3/features/11","rooms/3/features/12","rooms/3/features/13","rooms/3/features/14","rooms/3/features/15","rooms/3/features/16","rooms/3/features/17","rooms/3/features/18","rooms/3/features/19","rooms/3/features/20","rooms/3/features/21","rooms/3/features/22","rooms/3/features/23","rooms/3/features/24","rooms/3/features/25","rooms/3/features/26","rooms/3/features/27","rooms/3/features/28","rooms/3/features/29","rooms/3/features/30","rooms/3/features/31","rooms/3/features/32","rooms/3/features/33","rooms/3/features/34","rooms/3/features/35","rooms/3/features/36","rooms/3/features/37","rooms/3/features/38","rooms/3/features/39","rooms/3/features/40","rooms/3/features/41","rooms/3/persons","rooms/3/price","rooms/3/roomType","rooms/4/available","rooms/4/bedType","rooms/4/conditions/0","rooms/4/conditions/1","rooms/4/conditions/2","rooms/4/currency","rooms/4/features/0","rooms/4/features/1","rooms/4/features/2","rooms/4/features/3","rooms/4/features/4","rooms/4/features/5","rooms/4/features/6","rooms/4/features/7","rooms/4/features/8","rooms/4/features/9","rooms/4/features/10","rooms/4/features/11","rooms/4/features/12","rooms/4/features/13","rooms/4/features/14","rooms/4/features/15","rooms/4/features/16","rooms/4/features/17","rooms/4/features/18","rooms/4/features/19","rooms/4/features/20","rooms/4/features/21","rooms/4/features/22","rooms/4/features/23","rooms/4/features/24","rooms/4/features/25","rooms/4/features/26","rooms/4/features/27","rooms/4/features/28","rooms/4/features/29","rooms/4/features/30","rooms/4/features/31","rooms/4/features/32","rooms/4/features/33","rooms/4/features/34","rooms/4/features/35","rooms/4/features/36","rooms/4/features/37","rooms/4/persons","rooms/4/price","rooms/4/roomType","rooms/5/available","rooms/5/bedType","rooms/5/conditions/0","rooms/5/conditions/1","rooms/5/conditions/2","rooms/5/currency","rooms/5/features/0","rooms/5/features/1","rooms/5/features/2","rooms/5/features/3","rooms/5/features/4","rooms/5/features/5","rooms/5/features/6","rooms/5/features/7","rooms/5/features/8","rooms/5/features/9","rooms/5/features/10","rooms/5/features/11","rooms/5/features/12","rooms/5/features/13","rooms/5/features/14","rooms/5/features/15","rooms/5/features/16","rooms/5/features/17","rooms/5/features/18","rooms/5/features/19","rooms/5/features/20","rooms/5/features/21","rooms/5/features/22","rooms/5/features/23","rooms/5/features/24","rooms/5/features/25","rooms/5/features/26","rooms/5/features/27","rooms/5/features/28","rooms/5/features/29","rooms/5/features/30","rooms/5/features/31","rooms/5/features/32","rooms/5/features/33","rooms/5/features/34","rooms/5/features/35","rooms/5/features/36","rooms/5/features/37","rooms/5/features/38","rooms/5/features/39","rooms/5/persons","rooms/5/price","rooms/5/roomType","rooms/6/available","rooms/6/bedType","rooms/6/conditions/0","rooms/6/conditions/1","rooms/6/conditions/2","rooms/6/currency","rooms/6/features/0","rooms/6/features/1","rooms/6/features/2","rooms/6/features/3","rooms/6/features/4","rooms/6/features/5","rooms/6/features/6","rooms/6/features/7","rooms/6/features/8","rooms/6/features/9","rooms/6/features/10","rooms/6/features/11","rooms/6/features/12","rooms/6/features/13","rooms/6/features/14","rooms/6/features/15","rooms/6/features/16","rooms/6/features/17","rooms/6/features/18","rooms/6/features/19","rooms/6/features/20","rooms/6/features/21","rooms/6/features/22","rooms/6/features/23","rooms/6/features/24","rooms/6/features/25","rooms/6/features/26","rooms/6/features/27","rooms/6/features/28","rooms/6/features/29","rooms/6/features/30","rooms/6/features/31","rooms/6/features/32","rooms/6/features/33","rooms/6/features/34","rooms/6/features/35","rooms/6/features/36","rooms/6/features/37","rooms/6/persons","rooms/6/price","rooms/6/roomType","rooms/7/available","rooms/7/bedType","rooms/7/conditions/0","rooms/7/conditions/1","rooms/7/currency","rooms/7/features/0","rooms/7/features/1","rooms/7/features/2","rooms/7/features/3","rooms/7/features/4","rooms/7/features/5","rooms/7/features/6","rooms/7/features/7","rooms/7/features/8","rooms/7/features/9","rooms/7/features/10","rooms/7/features/11","rooms/7/features/12","rooms/7/features/13","rooms/7/features/14","rooms/7/features/15","rooms/7/features/16","rooms/7/features/17","rooms/7/features/18","rooms/7/features/19","rooms/7/features/20","rooms/7/features/21","rooms/7/features/22","rooms/7/features/23","rooms/7/features/24","rooms/7/features/25","rooms/7/features/26","rooms/7/features/27","rooms/7/features/28","rooms/7/features/29","rooms/7/features/30","rooms/7/features/31","rooms/7/features/32","rooms/7/features/33","rooms/7/features/34","rooms/7/features/35","rooms/7/features/36","rooms/7/features/37","rooms/7/persons","rooms/7/price","rooms/7/roomType","rooms/8/available","rooms/8/bedType","rooms/8/conditions/0","rooms/8/conditions/1","rooms/8/currency","rooms/8/features/0","rooms/8/features/1","rooms/8/features/2","rooms/8/features/3","rooms/8/features/4","rooms/8/features/5","rooms/8/features/6","rooms/8/features/7","rooms/8/features/8","rooms/8/features/9","rooms/8/features/10","rooms/8/features/11","rooms/8/features/12","rooms/8/features/13","rooms/8/features/14","rooms/8/features/15","rooms/8/features/16","rooms/8/features/17","rooms/8/features/18","rooms/8/features/19","rooms/8/features/20","rooms/8/features/21","rooms/8/features/22","rooms/8/features/23","rooms/8/features/24","rooms/8/features/25","rooms/8/features/26","rooms/8/features/27","rooms/8/features/28","rooms/8/features/29","rooms/8/features/30","rooms/8/features/31","rooms/8/features/32","rooms/8/features/33","rooms/8/features/34","rooms/8/features/35","rooms/8/features/36","rooms/8/features/37","rooms/8/persons","rooms/8/price","rooms/8/roomType","rooms/9/available","rooms/9/bedType","rooms/9/conditions/0","rooms/9/conditions/1","rooms/9/currency","rooms/9/features/0","rooms/9/features/1","rooms/9/features/2","rooms/9/features/3","rooms/9/features/4","rooms/9/features/5","rooms/9/features/6","rooms/9/features/7","rooms/9/features/8","rooms/9/features/9","rooms/9/features/10","rooms/9/features/11","rooms/9/features/12","rooms/9/features/13","rooms/9/features/14","rooms/9/features/15","rooms/9/features/16","rooms/9/features/17","rooms/9/features/18","rooms/9/features/19","rooms/9/features/20","rooms/9/features/21","rooms/9/features/22","rooms/9/features/23","rooms/9/features/24","rooms/9/features/25","rooms/9/features/26","rooms/9/features/27","rooms/9/features/28","rooms/9/features/29","rooms/9/features/30","rooms/9/features/31","rooms/9/features/32","rooms/9/features/33","rooms/9/features/34","rooms/9/features/35","rooms/9/features/36","rooms/9/features/37","rooms/9/persons","rooms/9/price","rooms/9/roomType","rooms/10/available","rooms/10/bedType","rooms/10/conditions/0","rooms/10/conditions/1","rooms/10/currency","rooms/10/features/0","rooms/10/features/1","rooms/10/features/2","rooms/10/features/3","rooms/10/features/4","rooms/10/features/5","rooms/10/features/6","rooms/10/features/7","rooms/10/features/8","rooms/10/features/9","rooms/10/features/10","rooms/10/features/11","rooms/10/features/12","rooms/10/features/13","rooms/10/features/14","rooms/10/features/15","rooms/10/features/16","rooms/10/features/17","rooms/10/features/18","rooms/10/features/19","rooms/10/features/20","rooms/10/features/21","rooms/10/features/22","rooms/10/features/23","rooms/10/features/24","rooms/10/features/25","rooms/10/features/26","rooms/10/features/27","rooms/10/features/28","rooms/10/features/29","rooms/10/features/30","rooms/10/features/31","rooms/10/features/32","rooms/10/features/33","rooms/10/persons","rooms/10/price","rooms/10/roomType","rooms/11/available","rooms/11/bedType","rooms/11/conditions/0","rooms/11/conditions/1","rooms/11/currency","rooms/11/features/0","rooms/11/features/1","rooms/11/features/2","rooms/11/features/3","rooms/11/features/4","rooms/11/features/5","rooms/11/features/6","rooms/11/features/7","rooms/11/features/8","rooms/11/features/9","rooms/11/features/10","rooms/11/features/11","rooms/11/features/12","rooms/11/features/13","rooms/11/features/14","rooms/11/features/15","rooms/11/features/16","rooms/11/features/17","rooms/11/features/18","rooms/11/features/19","rooms/11/features/20","rooms/11/features/21","rooms/11/features/22","rooms/11/features/23","rooms/11/features/24","rooms/11/features/25","rooms/11/features/26","rooms/11/features/27","rooms/11/features/28","rooms/11/features/29","rooms/11/features/30","rooms/11/features/31","rooms/11/features/32","rooms/11/features/33","rooms/11/features/34","rooms/11/features/35","rooms/11/features/36","rooms/11/persons","rooms/11/price","rooms/11/roomType","rooms/12/available","rooms/12/bedType","rooms/12/conditions/0","rooms/12/conditions/1","rooms/12/currency","rooms/12/features/0","rooms/12/features/1","rooms/12/features/2","rooms/12/features/3","rooms/12/features/4","rooms/12/features/5","rooms/12/features/6","rooms/12/features/7","rooms/12/features/8","rooms/12/features/9","rooms/12/features/10","rooms/12/features/11","rooms/12/features/12","rooms/12/features/13","rooms/12/features/14","rooms/12/features/15","rooms/12/features/16","rooms/12/features/17","rooms/12/features/18","rooms/12/features/19","rooms/12/features/20","rooms/12/features/21","rooms/12/features/22","rooms/12/features/23","rooms/12/features/24","rooms/12/features/25","rooms/12/features/26","rooms/12/features/27","rooms/12/features/28","rooms/12/features/29","rooms/12/features/30","rooms/12/features/31","rooms/12/features/32","rooms/12/features/33","rooms/12/features/34","rooms/12/features/35","rooms/12/features/36","rooms/12/persons","rooms/12/price","rooms/12/roomType","stars","type","url"
"Indonesia","Jalan Brawijaya, Mojopanggung, Giri, 68425 Banyuwangi, Indonesia","68425","Jawa Timur","Jalan Brawijaya, Mojopanggung, Giri","Kontinental, Asia, A la Amerika, Buffet",,,"Salah satu pilihan utama kami di Banyuwangi.Aston Banyuwangi Hotel and Conference Center menampilkan pemandangan kota dan terletak di Banyuwangi, 19 km dari Watu Dodol. Fasilitas di akomodasi ini termasuk restoran, resepsionis 24 jam, layanan kamar, dan Wi-Fi gratis di seluruh areanya. Terdapat parkir pribadi gratis dan layanan antar-jemput bandara berbayar.
Kamar-kamarnya ber-AC serta dilengkapi dengan TV kabel layar datar, teko, shower, pengering rambut, dan meja kerja. Setiap kamar di hotel ini memiliki kamar mandi pribadi dengan amenitas kamar mandi gratis.
Anda dapat menikmati sarapan kontinental di Aston Banyuwangi Hotel and Conference Center.
Akomodasi ini berjarak 48 km dari Taman Nasional Baluran. Bandara terdekat adalah Bandara Banyuwangi, 21 km dari Aston Banyuwangi Hotel and Conference Center.","https://r-cf.bstatic.com/images/hotel/max1024x768/141/141774146.jpg",,"Aston Banyuwangi Hotel and Conference Center","4","1.246","8.6","180","true"," Pilih tempat tidur (jika tersedia) 2 single 1 double besar ","Sarapan Rp 90.000 - skor: Baik","Pembatalan GRATIS sebelum 23.59 pada 21 Juni 2020",,"Rp","23 m²","Pemandangan kota","AC","Kamar mandi dalam","TV layar datar","Kedap suara","Minibar","Wi-Fi gratis","Peralatan mandi","Shower","Brankas","Toilet","Handuk","Seprai","Stop kontak dekat tempat tidur","Lantai keramik/marmer","Meja kerja","Area tempat duduk","TV","Sandal","Telepon","Pembuat teh/kopi","Kamar terhubung","Pengering rambut","Ketel listrik","TV kabel","Layanan bangun tidur","Lantai atas bisa dicapai dengan lift","Papan Jemur Baju","Tisu toilet","Semua unit bisa diakses dengan kursi roda",,,,,,,,,,,,,,,,,"2","1.246","Kamar Superior Double atau Twin","true"," Pilih tempat tidur (jika tersedia) 2 single 1 double besar ","Termasuk sarapan - skor: Baik","Pembatalan GRATIS sebelum 23.59 pada 21 Juni 2020",,"Rp","23 m²","Pemandangan kota","AC","Kamar mandi dalam","TV layar datar","Kedap suara","Minibar","Wi-Fi gratis","Peralatan mandi","Shower","Brankas","Toilet","Handuk","Seprai","Stop kontak dekat tempat tidur","Lantai keramik/marmer","Meja kerja","Area tempat duduk","TV","Sandal","Telepon","Pembuat teh/kopi","Kamar terhubung","Pengering rambut","Ketel listrik","TV kabel","Layanan bangun tidur","Lantai atas bisa dicapai dengan lift","Papan Jemur Baju","Tisu toilet","Semua unit bisa diakses dengan kursi roda",,,,,,,,,,,,,,,,,,"2","1.383","Kamar Superior Double atau Twin","true"," Pilih tempat tidur (jika tersedia) 1 double besar 2 single ","Termasuk sarapan - skor: Baik","Pembatalan GRATIS sebelum 23.59 pada 21 Juni 2020",,"Rp","26 m²","Pemandangan kota","AC","Kamar mandi dalam","TV layar datar","Kedap suara","Minibar","Wi-Fi gratis","Peralatan mandi","Shower","Brankas","Toilet","Sofa","Handuk","Seprai","Stop kontak dekat tempat tidur","Lantai keramik/marmer","Meja kerja","Area tempat duduk","TV","Sandal","Telepon","Pembuat teh/kopi","Pengering rambut","Ketel listrik","TV kabel","Layanan bangun tidur","Papan Jemur Baju","Tisu toilet","Semua unit bisa diakses dengan kursi roda","Selengkapnya",,,,,,,,,,,,,,,"2","1.491","Kamar Premier","true"," 1 double besar ","Termasuk sarapan - skor: Baik","Pembatalan GRATIS sebelum 23.59 pada 21 Juni 2020",,"Rp","32 m²","Pemandangan kota","AC","Kamar mandi dalam","TV layar datar","Kedap suara","Minibar","Wi-Fi gratis","Peralatan mandi","Shower","Brankas","Toilet","Handuk","Seprai","Stop kontak dekat tempat tidur","Lantai keramik/marmer","Meja kerja","Area tempat duduk","TV","Sandal","Telepon","Pembuat teh/kopi","Pengering rambut","Ketel listrik","TV kabel","Layanan bangun tidur","Lantai atas bisa dicapai dengan lift","Papan Jemur Baju","Tisu toilet","Semua unit bisa diakses dengan kursi roda","Selengkapnya",,,,,,,,,,,,"2","1.709","Kamar Deluxe Double",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4","Hotel","https://www.booking.com/hotel/id/aston-banyuwangi-city.id.html?checkin=2020-06-25&checkout=2020-06-28&selected_currency=IDR&changed_currency=1&top_currency=1&lang=id&group_adults=2&no_rooms=1"
"Indonesia","Jalan Ikan Jrabangan Nomor 2A, Banyuwangi, 68418 Banyuwangi, Indonesia","68418","Jawa Timur","Jalan Ikan Jrabangan Nomor 2A","Termasuk sarapan lezat dengan semua pilihan",,,"Titan's Greenhouse terletak di Banyuwangi, 19 km dari Watu Dodol, dan menawarkan akomodasi dengan sepeda gratis, parkir pribadi gratis, taman, serta teras. Akomodasi ini menawarkan resepsionis 24 jam, antar-jemput bandara, dapur bersama, dan Wi-Fi gratis.
Kamar-kamar di guest house ini dilengkapi dengan meja kerja.
Titan's Greenhouse menawarkan sarapan à la carte atau Asia.
Anda dapat bermain lempar darts di akomodasi ini. Daerah sekitarnya populer untuk bersepeda.
